false,2a4d5067-b8a3-4976-9f73-fd4df45273bb,Comic relief provides humor to the series,Comic relief
false,d44b42b7-5bcd-4b44-b0b0-340c9466d7de,Tragic hero experiences a downfall due to their flaws,Tragic hero
false,ca3a7cb5-4bfe-466a-829b-2c5bb312c68c,Redeemed villain is a character who switches from villain to hero,Redeemed villain
false,7f5e60a9-b5c7-4454-9ef4-36414b592a97,Villainess is a female antagonist with evil intentions,Villainess
false,717a8e92-9dbf-4493-a039-521ab46a9366,Villain is an evil character,Villain
false,b329fc9f-3887-4f94-a5bc-6fe17732f32f,Schemer is a character that plots or manipulates others,Schemer
false,ad9f6d5d-e587-496f-b7a6-4f68452b8f32,Hero is a protagonist with noble qualities,Hero
false,5423b47d-706e-4eeb-910d-19f5478b56da,Mentor is a wise guide to the protagonist,Mentor
false,6a97df32-6f3a-47de-9bc2-b5a7f07c6d4b,Antihero is a protagonist with morally ambiguous qualities,Antihero
false,19cd9b3a-e6c9-4674-8888-1b10c21c8135,Shapeshifter changes their form or identity,Shapeshifter
false,9b2eac45-8b32-45ab-b951-84913b786f32,Sidekick is a supportive character to the hero,Sidekick
